sleeping,motion,sleep,real
2,6,1,0
2,6,4,0
2,6,1,0
2,6,1,0
1,6,28,0
1,6,4,0
1,6,11,0
1,6,28,0
1,1,83,0
1,6,18,0
1,5,61,4
1,5,61,4
1,5,36,4
1,2,85,4
1,1,88,4
1,1,94,4
1,2,94,4
1,3,92,4
1,3,92,4
1,2,92,4
1,2,93,4
1,2,94,4
1,5,69,4
1,3,88,4
1,2,88,4
1,1,92,4
1,1,94,4
1,1,95,4
1,1,95,4
1,4,83,4
1,3,90,4
1,2,91,4
1,1,92,4
1,1,94,4
1,1,95,4
1,3,91,4
1,1,90,4
1,1,91,4
1,1,95,4
1,1,95,4
1,1,95,4
1,1,95,4
1,4,83,4
1,1,84,4
1,1,87,4
1,1,95,4
1,1,95,4
1,3,91,4
1,1,90,4
1,1,91,4
1,1,95,4
1,3,91,4
1,1,90,4
1,3,90,4
1,1,90,4
1,1,91,4
1,1,95,4
1,3,91,4
1,1,90,4
1,1,91,4
1,1,95,4
1,1,95,4
1,1,95,4
1,1,95,4
1,1,95,4
1,3,91,4
1,1,90,4
1,1,91,4
1,1,95,4
1,1,95,4
1,4,86,4
1,1,85,4
1,3,89,4
1,4,89,4
1,1,89,4
1,1,89,4
1,1,97,4
1,1,97,4
1,1,97,4
1,1,97,4
1,1,97,4
1,1,97,4
1,1,97,4
1,1,97,4
1,2,96,4
1,2,96,4
1,1,95,4
1,1,95,4
1,3,93,4
1,3,94,4
1,2,94,4
1,3,93,4
1,1,93,4
1,1,93,4
1,1,97,4
1,1,5,0
1,1,5,0
1,1,97,0
1,5,70,0
2,6,39,0
2,6,33,0
2,6,15,0
2,2,74,0
3,6,9,0
2,6,10,0
2,3,84,0
2,1,87,0
2,6,35,0
2,5,35,0
2,6,8,0
2,6,4,0
3,6,1,0
2,6,4,0
2,6,1,0
2,6,1,0
2,5,28,0
1,6,4,0
1,6,11,0
1,6,11,0
1,5,54,0
3,5,15,0
1,5,21,0
1,3,35,0
1,2,88,4
1,5,66,4
1,1,84,4
1,1,82,4
1,1,95,4
1,1,95,4
1,1,95,4
1,1,95,4
1,1,95,4
1,3,91,4
1,5,72,4
1,3,88,4
1,1,89,4
1,1,91,4
1,1,95,4
1,5,66,4
1,2,82,4
1,5,54,4
1,5,68,4
1,1,83,4
1,2,84,4
1,1,94,4
