real,brigthness0,motion0,sleep0,brigthness1,motion1,sleep1,brigthness2,motion2,sleep2,brigthness3,motion3,sleep3,brigthness4,motion4,sleep4,brigthness5,motion5,sleep5,brigthness6,motion6,sleep6,brigthness7,motion7,sleep7,brigthness8,motion8,sleep8,brigthness9,motion9,sleep9,brigthness10,motion10,sleep10,brigthness11,motion11,sleep11,brigthness12,motion12,sleep12,brigthness13,motion13,sleep13,brigthness14,motion14,sleep14,brigthness15,motion15,sleep15,brigthness16,motion16,sleep16,brigthness17,motion17,sleep17,brigthness18,motion18,sleep18,brigthness19,motion19,sleep19,brigthness20,motion20,sleep20,brigthness21,motion21,sleep21,brigthness22,motion22,sleep22,brigthness23,motion23,sleep23


0,1,1,77,1,1,77,1,6,16,1,4,62,1,6,8,1,1,84,1,6,8,1,1,84,1,6,3,1,1,87,1,6,10,1,1,87,1,6,8,1,1,95,2,5,55,1,1,95,2,6,7,1,1,95,2,6,7,1,1,95,2,6,7,1,3,91,2,6,7,1,3,91
0,1,4,62,1,4,62,1,1,77,1,1,84,1,6,16,1,1,84,1,6,8,1,1,87,1,6,8,1,1,87,1,6,3,1,1,95,1,6,10,1,1,95,1,6,10,1,1,95,1,6,8,1,1,95,2,5,55,1,3,91,2,6,7,1,3,91,2,6,7,1,3,90
1,1,1,84,1,1,84,1,4,62,1,1,87,1,4,62,1,1,87,1,1,77,1,1,95,1,6,16,1,1,95,1,6,8,1,1,95,1,6,8,1,1,95,1,6,3,1,3,91,1,6,10,1,3,91,1,6,10,1,3,90,1,6,8,1,3,90,2,5,55,1,3,92
1,1,1,87,1,1,87,1,1,84,1,1,95,1,1,84,1,1,95,1,4,62,1,1,95,1,4,62,1,1,95,1,1,77,1,3,91,1,6,16,1,3,91,1,6,8,1,3,90,1,6,8,1,3,90,1,6,3,1,3,92,1,6,10,1,3,92,1,6,10,1,3,92
1,1,1,95,1,1,95,1,1,87,1,1,95,1,1,87,1,1,95,1,1,84,1,3,91,1,1,84,1,3,91,1,4,62,1,3,90,1,4,62,1,3,90,1,1,77,1,3,92,1,6,16,1,3,92,1,6,8,1,3,92,1,6,8,1,3,92,1,6,3,1,1,95
0,1,1,95,1,1,95,1,1,95,1,3,91,1,1,95,1,3,91,1,1,87,1,3,90,1,1,87,1,3,90,1,1,84,1,3,92,1,1,84,1,3,92,1,4,62,1,3,92,1,4,62,1,3,92,1,1,77,1,1,95,1,6,16,1,1,95,1,6,8,1,1,95
0,1,3,91,1,3,91,1,1,95,1,3,90,1,1,95,1,3,90,1,1,95,1,3,92,1,1,95,1,3,92,1,1,87,1,3,92,1,1,87,1,3,92,1,1,84,1,1,95,1,1,84,1,1,95,1,4,62,1,1,95,1,4,62,1,1,95,1,1,77,1,1,95
0,1,3,90,1,3,90,1,3,91,1,3,92,1,3,91,1,3,92,1,1,95,1,3,92,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,87,1,1,95,1,1,87,1,1,95,1,1,84,1,1,95,1,1,84,1,1,95,1,4,62,1,1,95
